brand,carName,carImg,saleVolume,price,manufacturer,rank,carModel,energyType,marketTime,insure
比亚迪,海鸥,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/57f96638e8d34ce282039ad70270aa98~tplv-resize:640:0.png,46830,6.98-8.58万,比亚迪,1,小型车,纯电动,2024.08,6年或15万公里
特斯拉,Model Y,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/60b8a92b0b304e60a4d0e8bc2f4f2272~tplv-resize:640:0.png,45330,24.99-35.49万,特斯拉中国,2,中型SUV,纯电动,2024.02,4年或8万公里
比亚迪,秦L DM,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/433b1c61fd5645379d4a1e83591fa3e1~tplv-resize:640:0.png,35957,9.98-13.98万,比亚迪,3,中型车,插电式混合动力,2024.05,6年或15万公里
比亚迪,海豹06,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/e65fdc8293d04063bc07ed05198a2c83~tplv-resize:640:0.png,32903,9.98-13.98万,比亚迪,4,中型车,插电式混合动力,2024.05,6年或15万公里
大众,朗逸,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/657fc6190656454f9cfdb2a4d97b7874~tplv-resize:640:0.png,28542,4.80-10.49万,上汽大众,5,紧凑型车,汽油,2023.09,3年或10万公里
比亚迪,宋PLUS DM,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/f8cbeac5dfe64f538702a05236429100~tplv-resize:640:0.png,28380,12.98-17.58万,比亚迪,6,紧凑型SUV,插电式混合动力,2024.07,6年或15万公里
比亚迪,秦PLUS DM,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/b16feb96960c4b178686faea93e71f3c~tplv-resize:640:0.png,27112,7.98-12.58万,比亚迪,7,紧凑型车,插电式混合动力,2024.02,6年或15万公里
比亚迪,元PLUS,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/0a5a6f5f1e4e417f823a51d894fa7345~tplv-resize:640:0.png,27046,11.98-14.78万,比亚迪,8,紧凑型SUV,纯电动,2024.03,6年或15万公里
五菱汽车,五菱宏光MINIEV,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/287e133f10e1402386d901c399885fbf~tplv-resize:640:0.png,26461,2.38-8.99万,上汽通用五菱,9,微型车,纯电动,2024.08,3年或12万公里
理想汽车,理想L6,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/70084ec6188c457d81e000f310d9af9b~tplv-resize:640:0.png,24897,24.68-27.68万,理想汽车,10,中大型SUV,增程式,2024.04,5年或10万公里
日产,轩逸,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/f5483079e6094fb898c14f3b3d6c1493~tplv-resize:640:0.png,23803,6.98-14.19万,东风日产,11,紧凑型车,汽油,2024.01,3年或10万公里
五菱汽车,五菱缤果,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/7874a5c08b544f70ba7e8647e0ef0879~tplv-resize:640:0.png,22185,4.98-8.08万,上汽通用五菱,12,小型车,纯电动,2024.06,3年或10万公里
比亚迪,驱逐舰05,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/fdd396bacd4e433699c66a8dc73db8db~tplv-resize:640:0.png,22180,7.98-12.88万,比亚迪,13,紧凑型车,插电式混合动力,2024.02,6年或15万公里
大众,帕萨特,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/b4285df0389c47399c7f0fa8d52a8334~tplv-resize:640:0.png,21479,13.43-22.39万,上汽大众,14,中型车,汽油,2024.09,3年或10万公里
大众,速腾,https://p9-dcd.byteimg.com/img/motor-mis-img/44c013067df2032cc03b6031eb68bf05~tplv-resize:640:0.png,20648,7.69-12.19万,一汽-大众,15,紧凑型车,汽油,2024.04,3年或10万公里
比亚迪,元UP,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/eca155ce5f884c349d4d541e5b9e7277~tplv-resize:640:0.png,19344,9.38-11.98万,比亚迪,16,小型SUV,纯电动,2024.03,6年或15万公里
比亚迪,宋Pro DM,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/91291cb770c44932a3f6c14feedc82b3~tplv-resize:640:0.png,19288,10.98-13.98万,比亚迪,17,紧凑型SUV,插电式混合动力,2024.03,6年或15万公里
特斯拉,Model 3,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/5cd480f6fcc24ad3a7353de566a7229e~tplv-resize:640:0.png,18126,23.19-33.59万,特斯拉中国,18,中型车,纯电动,2024.04,4年或8万公里
吉利汽车,星越L,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/51d9fd205a9a4415b90bfceebdc5be66~tplv-resize:640:0.png,17026,12.22-17.02万,吉利汽车,19,紧凑型SUV,汽油,2024.01,4年或10万公里
AITO,问界M9,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/c6eb4687b1d1477c86826edc4d417e6c~tplv-resize:640:0.png,16955,46.98-56.98万,赛力斯汽车,20,大型SUV,增程式,2024.09,4年或10万公里
丰田,RAV4荣放,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/fd37b2b3af134b47883f07e044cfb8cf~tplv-resize:640:0.png,16387,12.68-23.58万,一汽丰田,21,紧凑型SUV,汽油,2024.09,3年或10万公里
